,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,Rosehearty,57.7,-2.11,294.26,74,92,0.89,GB,1594919654
289,Nyimba,-14.56,30.81,286.74,53,19,2.13,ZM,1594919655
290,Carutapera,-1.2,-46.02,302.33,71,3,4.04,BR,1594919655
291,Vestmanna,62.16,-7.17,284.15,93,56,7.2,FO,1594919600
292,Sumbe,-11.21,13.84,297.15,81,2,2.1,AO,1594919655
293,Taksimo,56.34,114.88,287.24,78,96,2.14,RU,1594919655
294,Acapulco de Juárez,16.86,-99.89,305.15,55,5,2.1,MX,1594919473
295,Pacific Grove,36.62,-121.92,289.15,77,90,2.1,US,1594919471
296,Luwingu,-10.26,29.93,287.88,50,0,3.4,ZM,1594919655
297,Hambantota,6.12,81.12,301.15,74,75,3.6,LK,1594919655
298,Beloha,-25.17,45.05,288.99,75,25,3.42,MG,1594919655
299,Kantābānji,20.48,82.92,299.93,79,92,5.26,IN,1594919655
300,Platteville,42.73,-90.48,295.15,83,75,1.17,US,1594919445
301,Macon,39.87,-88.97,299.82,78,75,3.1,US,1594919656
302,San Quintín,30.48,-115.95,294.73,71,88,4.84,MX,1594919656
303,Norman Wells,65.28,-126.83,289.15,93,75,3.1,CA,1594919656
304,Sitka,57.05,-135.33,287.15,82,75,5.1,US,1594919585
305,Senador José Porfírio,-2.59,-51.95,305.58,47,2,0.68,BR,1594919656
306,Geraldton,-28.77,114.6,290.15,93,90,4.6,AU,1594919657
307,Bilma,18.69,12.92,311.33,22,41,4.17,NE,1594919657
308,Dunedin,-45.87,170.5,278.15,74,88,1.34,NZ,1594919657
309,Provideniya,64.38,-173.3,283.83,80,84,0.15,RU,1594919657
310,Farafangana,-22.82,47.83,292.37,72,8,6.07,MG,1594919657
311,Hamilton,39.18,-84.53,304.82,62,75,6.2,US,1594919657
312,Anloga,5.79,0.9,298.15,83,20,5.7,GH,1594919657
313,Lüderitz,-26.65,15.16,298.15,26,0,3.6,NA,1594919658
314,Imbituba,-28.24,-48.67,291.15,55,20,6.2,BR,1594919658
315,Río Gallegos,-51.62,-69.22,270.15,92,90,4.1,AR,1594919658
316,Tomé,-36.62,-72.95,285.15,87,90,7.2,CL,1594919658
317,Malanje,-9.54,16.34,295.83,21,1,1.53,AO,1594919658
318,Kupang,-10.17,123.58,296.19,85,25,2.78,ID,1594919578
319,Moose Factory,51.26,-80.61,299.15,54,1,7.7,CA,1594919401
320,São João da Barra,-21.64,-41.05,297.15,64,75,3.6,BR,1594919577
321,Tessalit,20.2,1.01,308.66,24,65,5.93,ML,1594919590
322,Formosa,-26.18,-58.18,294.15,64,80,3.6,AR,1594919448
323,Hawkesbury,45.6,-74.62,301.48,61,75,3.6,CA,1594919658
324,Anzio,41.49,12.62,299.82,61,0,3.13,IT,1594919658
325,Honningsvåg,70.98,25.97,284.15,93,100,1.0,NO,1594919659
326,Nador,35.17,-2.93,300.15,74,40,4.6,MA,1594919659
327,Neuquén,-38.95,-68.06,280.15,75,75,1.5,AR,1594919659
328,Saldanha,-33.01,17.94,288.69,58,0,4.3,ZA,1594919659
329,Roald,62.58,6.13,290.93,77,20,5.7,NO,1594919503
330,Shaunavon,49.65,-108.42,296.15,38,38,2.8,CA,1594919579
331,Okhotsk,59.38,143.3,286.5,91,99,2.99,RU,1594919659
332,Tigil',57.8,158.67,285.24,95,100,1.7,RU,1594919659
333,São Félix do Xingu,-6.64,-51.99,307.68,30,6,2.2,BR,1594919660
334,Kaitangata,-46.28,169.85,277.59,71,41,0.89,NZ,1594919660
335,Mount Isa,-20.73,139.5,284.15,34,0,3.1,AU,1594919660
336,Nūrpur,29.15,78.42,306.32,49,20,4.08,IN,1594919660
337,Itarema,-2.92,-39.92,303.9,51,0,6.46,BR,1594919660
338,Grindavik,63.84,-22.43,286.15,76,75,6.7,IS,1594919660
339,Kasongo-Lunda,-6.47,16.82,301.94,21,0,0.79,CD,1594919660
340,Starovelichkovskaya,45.43,38.73,300.93,57,70,4.86,RU,1594919661
341,Nabire,-3.37,135.48,297.31,90,22,1.72,ID,1594919553
342,Holme,56.11,10.17,292.15,68,62,1.0,DK,1594919661
343,Black River,18.03,-77.85,305.93,70,20,8.2,JM,1594919661
344,Meulaboh,4.14,96.13,298.54,89,86,2.02,ID,1594919661
345,Kununurra,-15.77,128.73,287.15,31,0,3.7,AU,1594919661
346,Boa Vista,2.82,-60.67,304.15,58,75,2.6,BR,1594919661
347,Cervo,43.67,-7.41,294.26,68,90,4.02,ES,1594919661
348,Abu Samrah,35.3,37.18,302.02,33,0,6.16,SY,1594919586
349,Ostashkov,57.15,33.11,285.61,96,100,2.77,RU,1594919662
350,Kristinestad,62.27,21.38,290.54,67,3,2.94,FI,1594919662
351,Magaria,13.0,8.91,306.76,38,73,2.01,NE,1594919662
352,Cap Malheureux,-19.98,57.61,293.71,75,14,0.89,MU,1594919662
353,Tulun,54.56,100.58,283.16,72,99,2.14,RU,1594919662
354,Flinders,-34.58,150.86,285.37,78,61,5.36,AU,1594919560
355,Mbumi,-7.91,39.21,295.13,71,39,1.75,TZ,1594919662
356,Mount Gambier,-37.83,140.77,275.15,93,5,2.1,AU,1594919662
357,Chissamba,-12.17,17.33,291.29,28,0,2.36,AO,1594919662
358,Causapscal,48.35,-67.23,296.47,24,17,3.02,CA,1594919663
359,Bhatkal,13.97,74.57,299.56,85,100,5.25,IN,1594919663
360,Ust-Maya,60.42,134.53,288.4,76,57,0.36,RU,1594919596
361,Laguna,38.42,-121.42,295.93,56,5,2.6,US,1594919499
362,Fujin,47.26,132.03,294.44,88,16,2.78,CN,1594919663
363,Marsá Maţrūḩ,31.35,27.25,300.15,65,0,4.6,EG,1594919663
364,Teluknaga,-6.1,106.64,300.93,83,40,3.1,ID,1594919663
365,Kuching,1.55,110.33,299.15,94,20,0.81,MY,1594919664
366,Comodoro Rivadavia,-45.87,-67.5,277.15,86,90,1.48,AR,1594919664
367,Bereda,43.27,-7.54,295.37,66,85,8.49,ES,1594919664
368,Bac Lieu,9.29,105.72,300.18,81,56,1.73,VN,1594919596
369,Waiuku,-37.25,174.75,284.15,87,93,4.6,NZ,1594919664
370,Lopez,13.88,122.26,298.88,89,74,1.02,PH,1594919664
371,Okakarara,-20.58,17.43,287.13,35,0,4.42,NA,1594919664
372,Waspán,14.74,-83.97,304.15,70,75,2.09,NI,1594919664
373,Nouadhibou,20.93,-17.03,297.15,73,38,5.1,MR,1594919664
374,Amuntai,-2.42,115.25,296.44,91,99,0.33,ID,1594919665
375,Puerto Escondido,15.85,-97.07,303.15,62,40,1.5,MX,1594919665
376,Yantarnyy,54.87,19.94,291.15,93,40,3.0,RU,1594919665
377,Lavrentiya,65.58,-171.0,282.1,81,95,0.97,RU,1594919665
378,Singkang,2.1,102.8,299.15,88,40,1.5,MY,1594919665
379,Port Hedland,-20.32,118.57,287.15,71,0,3.1,AU,1594919665
380,Touros,-5.2,-35.46,297.15,94,75,4.1,BR,1594919665
381,Matagami,49.75,-77.63,293.15,88,75,3.1,CA,1594919666
382,Labuhan,-6.88,112.21,298.64,81,0,3.79,ID,1594919666
383,Iberia,29.95,-91.75,306.15,59,40,3.1,US,1594919666
384,Konëvo,62.12,39.32,284.33,97,100,3.98,RU,1594919666
385,Kiruna,67.86,20.23,292.15,45,45,2.1,SE,1594919597
386,Champerico,14.3,-91.92,304.15,62,75,1.23,GT,1594919666
387,Cayenne,4.93,-52.33,304.15,62,43,2.6,GF,1594919666
388,Trat,12.5,102.5,298.5,91,84,0.46,TH,1594919667
389,Te Anau,-45.42,167.72,272.04,96,23,0.35,NZ,1594919667
390,Beira,-19.84,34.84,294.15,64,20,6.7,MZ,1594919561
391,Esim,4.87,-2.24,298.33,77,100,3.7,GH,1594919667
392,Kampong Cham,11.99,105.46,299.03,89,98,3.2,KH,1594919668
393,Larap,14.3,122.65,299.3,88,39,1.89,PH,1594919668
394,Le Tampon,-21.27,55.52,294.15,73,42,3.1,RE,1594919668
395,Henties Bay,-22.12,14.28,291.49,33,0,2.87,NA,1594919374
396,Athabasca,54.72,-113.29,292.33,72,100,3.73,CA,1594919453
397,Nome,64.5,-165.41,284.26,87,90,1.5,US,1594919438
398,Brae,60.4,-1.35,286.15,100,75,6.2,GB,1594919668
399,Auki,-8.77,160.7,297.17,83,44,2.22,SB,1594919669
400,Bartica,6.4,-58.62,299.15,88,75,1.0,GY,1594919669
401,Praxédis Guerrero,31.37,-106.02,307.15,29,20,4.1,MX,1594919669
402,Kysyl-Syr,63.9,122.76,290.91,94,77,2.84,RU,1594919669
403,Vila do Maio,15.13,-23.22,302.15,58,40,7.7,CV,1594919669
404,Tolyatti,53.53,49.35,297.15,50,20,1.0,RU,1594919669
405,Samaná,19.21,-69.34,304.15,74,20,4.1,DO,1594919669
406,Jiayuguan City,39.82,98.3,295.47,29,55,0.85,CN,1594919670
407,Sarāhan,31.52,77.8,291.08,74,37,0.3,IN,1594919670
408,Ürümqi,43.8,87.6,300.15,34,3,2.0,CN,1594919588
409,Vestmannaeyjar,63.44,-20.27,283.15,93,90,11.3,IS,1594919602
410,Dwārka,22.24,68.97,302.25,74,72,4.05,IN,1594919385
411,Dubbo,-32.25,148.62,275.15,93,0,2.1,AU,1594919670
412,Puerto Limón,10.0,-83.03,303.15,70,90,2.1,CR,1594919670
413,Madaoua,14.07,5.96,308.1,34,31,3.22,NE,1594919670
414,Floriano,-6.77,-43.02,308.1,29,0,5.24,BR,1594919644
415,Ola,59.58,151.28,285.18,91,96,0.95,RU,1594919670
416,Staritsa,56.51,34.94,286.66,95,100,3.46,RU,1594919671
417,Khani,41.96,42.96,299.15,74,90,4.1,GE,1594919671
418,Aden,12.78,45.04,304.99,58,79,8.51,YE,1594919671
419,Oistins,13.07,-59.53,304.15,62,20,6.2,BB,1594919671
420,Pospelikha,51.95,81.77,292.23,69,1,6.05,RU,1594919671
421,Camacha,33.08,-16.33,296.15,64,20,5.7,PT,1594919671
422,Hualmay,-11.1,-77.61,292.28,66,21,4.55,PE,1594919592
423,Thayetmyo,19.32,95.18,298.7,88,95,2.29,MM,1594919671
424,Lorengau,-2.02,147.27,301.01,70,61,1.52,PG,1594919672
425,Wajir,1.75,40.06,304.15,38,75,4.6,KE,1594919672
426,Temryuk,45.27,37.38,298.15,53,20,7.0,RU,1594919672
427,Kirkland Lake,48.14,-80.04,295.15,78,75,2.1,CA,1594919672
428,Praia,14.92,-23.51,302.15,58,40,7.7,CV,1594919672
429,Mahabalipuram,12.63,80.17,301.15,88,75,1.0,IN,1594919672
430,Wattegama,6.8,81.48,301.15,74,75,3.6,LK,1594919672
431,Beringovskiy,63.05,179.32,283.34,82,60,1.81,RU,1594919672
432,Coyhaique,-45.58,-72.07,273.15,85,90,1.0,CL,1594919394
433,Aykhal,66.0,111.5,285.15,71,80,3.0,RU,1594919672
434,Tiznit Province,29.58,-9.5,304.95,33,58,2.72,MA,1594919673
435,Rustenburg,-25.67,27.24,283.69,35,0,1.32,ZA,1594919673
436,Yar-Sale,66.83,70.83,283.99,72,87,1.43,RU,1594919673
437,Codrington,-38.27,141.97,277.62,92,0,3.65,AU,1594919375
438,Giohar,2.78,45.5,297.94,72,98,8.48,SO,1594919673
439,Avera,33.19,-82.53,306.15,52,1,3.89,US,1594919673
440,Sørland,67.67,12.69,287.15,82,75,2.1,NO,1594919673
441,Coquimbo,-29.95,-71.34,288.15,67,0,2.1,CL,1594919466
442,Jurm,36.86,70.83,297.05,30,85,1.14,AF,1594919674
443,Aketi,2.74,23.78,296.5,94,96,0.93,CD,1594919674
444,Sadove,46.25,30.18,296.15,56,82,4.0,UA,1594919674
445,Mikhaylovka,50.06,43.24,295.93,43,7,1.66,RU,1594919674
446,Magistral'nyy,56.17,107.45,282.78,71,57,1.79,RU,1594919675
447,Samarai,-10.62,150.67,298.05,87,96,6.66,PG,1594919675
448,Dongsheng,39.82,109.98,292.59,71,100,3.03,CN,1594919675
449,Khorinsk,52.17,109.77,284.58,73,45,3.05,RU,1594919675
450,Nakhon Si Thammarat,8.43,99.97,298.6,87,86,1.06,TH,1594919675
451,Altay,47.87,88.12,294.77,36,38,3.44,CN,1594919675
452,Port Elizabeth,-33.92,25.57,285.15,71,23,2.04,ZA,1594919556
453,Ulundi,-28.34,31.42,284.31,45,0,0.74,ZA,1594919675
454,Walvis Bay,-22.96,14.51,302.15,6,0,6.7,NA,1594919675
455,Sorong,-0.88,131.25,298.82,83,41,1.44,ID,1594919675
456,Buraidah,26.33,43.98,312.15,16,52,3.6,SA,1594919676
457,Espinosa,-14.93,-42.82,302.32,28,0,5.61,BR,1594919676
458,Tsuruga,35.65,136.06,295.93,91,93,0.89,JP,1594919676
459,Tilichiki,60.47,166.1,282.66,100,100,1.14,RU,1594919676
460,Kharabali,47.42,47.26,299.99,28,0,4.93,RU,1594919676
461,São João del Rei,-21.14,-44.26,289.15,77,90,3.1,BR,1594919676
462,Huarmey,-10.07,-78.15,292.89,65,28,4.25,PE,1594919677
463,Shelui,-4.37,34.2,295.42,46,49,5.88,TZ,1594919677
464,Aransas Pass,27.91,-97.15,306.15,66,1,6.2,US,1594919677
465,Leeton,-34.57,146.4,273.15,91,90,0.97,AU,1594919677
466,Kipini,-2.53,40.53,298.29,67,71,12.36,KE,1594919677
467,Praia,14.92,-23.51,302.15,58,40,7.7,CV,1594919677
468,San Nicolas,18.17,120.6,300.24,77,34,1.9,PH,1594919677
469,Fort Nelson,58.81,-122.7,289.15,82,90,2.43,CA,1594919677
470,Egvekinot,66.32,-179.17,282.51,91,72,0.66,RU,1594919678
471,Tumaco,1.8,-78.82,299.83,85,51,3.55,CO,1594919678
472,Manta,-0.95,-80.73,298.92,72,89,3.28,EC,1594919428
473,Atkarsk,51.87,45.01,290.72,69,8,0.9,RU,1594919678
474,Merrill,45.18,-89.68,296.48,60,1,1.5,US,1594919678
475,Sampit,-2.53,112.95,296.31,98,45,1.03,ID,1594919678
476,Olafsvik,64.89,-23.71,282.98,81,100,8.53,IS,1594919679
477,Le Port,-20.94,55.29,295.15,73,64,2.6,RE,1594919514
478,Gornyy,55.12,83.91,292.72,97,0,4.46,RU,1594919679
479,Bilibino,68.05,166.44,280.59,91,100,1.17,RU,1594919679
480,Rohnert Park,38.34,-122.7,290.37,93,90,4.1,US,1594919392
481,Zomin,39.96,68.4,301.96,25,34,2.35,UZ,1594919679
482,Talaya,61.38,152.75,286.22,85,100,2.55,RU,1594919679
483,Pizhanka,57.46,48.54,291.99,77,50,2.96,RU,1594919680
484,Namatanai,-3.67,152.43,299.24,81,7,1.67,PG,1594919680
485,Senanga,-16.12,23.27,290.42,37,0,3.25,ZM,1594919680
486,Mildura,-34.2,142.15,276.15,100,0,1.5,AU,1594919430
487,Pinerolo,44.88,7.35,302.04,52,15,0.68,IT,1594919680
488,Topchikha,52.82,83.12,293.15,60,78,2.0,RU,1594919680
489,Viet Tri,21.3,105.43,303.15,74,69,3.6,VN,1594919681
490,Quatre Cocos,-20.21,57.76,295.15,73,75,3.6,MU,1594919681
491,Valle Hermoso,25.67,-97.83,307.15,63,75,6.2,MX,1594919681
492,Zhicheng,30.3,111.5,296.48,95,100,0.73,CN,1594919681
493,Belyy Yar,53.6,91.39,291.15,63,29,3.0,RU,1594919681
494,Nakatsugawa,35.48,137.5,297.04,83,75,1.2,JP,1594919681
495,Baker City,44.77,-117.83,301.15,28,1,0.95,US,1594919682
496,Dem'yanovo,60.35,47.08,291.8,78,57,1.47,RU,1594919682
497,Kroya,-7.63,109.25,298.18,90,63,1.29,ID,1594919407
498,Muli,2.92,73.57,302.52,68,100,1.58,MV,1594919682
499,Raja,8.46,25.68,296.07,91,83,1.47,SS,1594919682
500,Hede,33.77,120.25,292.1,91,34,2.61,CN,1594919682
501,Luena,-11.78,19.92,290.45,29,0,2.91,AO,1594919682
502,Kholtoson,50.3,103.31,278.85,77,29,0.85,RU,1594919682
503,High Level,58.52,-117.14,289.15,77,90,5.7,CA,1594919683
504,Bosaso,11.28,49.18,307.92,42,61,3.12,SO,1594919492
505,Mthatha,-31.59,28.78,284.15,37,0,1.5,ZA,1594919683
506,Zhigansk,66.77,123.37,290.09,87,100,5.19,RU,1594919683
507,Seoul,37.57,126.98,296.15,78,1,1.39,KR,1594919394
508,Carbonia,39.17,8.52,301.15,42,20,8.7,IT,1594919683
509,Waliso,8.53,37.98,286.93,93,92,0.56,ET,1594919683
510,Garissa,-0.45,39.64,298.42,57,100,11.23,KE,1594919684
511,Chadan,51.28,91.58,286.97,66,61,1.1,RU,1594919684
512,Koutiala,12.39,-5.46,299.31,73,95,5.62,ML,1594919684
513,Dzaoudzi,-12.79,45.27,298.15,73,40,8.2,YT,1594919684
514,Tuni,17.35,82.55,299.56,85,48,4.07,IN,1594919684
515,Perris,33.78,-117.23,299.26,53,1,1.5,US,1594919654
516,Baturaja,-4.13,104.17,297.15,95,75,1.02,ID,1594919684
517,Pangnirtung,66.15,-65.71,292.15,45,40,1.5,CA,1594919467
518,Nabisar,25.07,69.64,305.48,51,100,6.22,PK,1594919684
519,Przhevalskoye,55.51,31.85,287.84,81,87,1.35,RU,1594919684
520,Klaksvík,62.23,-6.59,284.15,93,56,7.2,FO,1594919685
521,Korla,41.76,86.15,300.23,27,7,6.21,CN,1594919685
522,Puerto del Rosario,28.5,-13.86,302.15,62,18,8.2,ES,1594919547
523,Dekar,-21.53,21.93,284.3,44,0,4.01,BW,1594919685
524,Lázaro Cárdenas,17.96,-102.2,303.95,69,85,0.55,MX,1594919685
525,Ginir,7.13,40.7,286.94,89,52,5.03,ET,1594919685
526,Knysna,-34.04,23.05,284.15,81,13,2.6,ZA,1594919685
527,Pangai,-19.8,-174.35,297.15,88,20,7.2,TO,1594919685
528,Udachny,66.42,112.4,285.15,71,100,3.0,RU,1594919686
529,Solnechnyy,50.72,136.63,293.32,84,63,1.07,RU,1594919541
530,Longos,16.11,120.4,299.84,81,89,2.36,PH,1594919686
531,Jizan,17.33,42.67,308.15,47,40,3.6,SA,1594919686
532,Alpena,45.06,-83.43,297.04,78,90,3.1,US,1594919686
533,Lahaina,20.88,-156.68,297.15,73,75,2.1,US,1594919686
534,Vanimo,-2.67,141.3,299.13,81,89,1.24,PG,1594919571
535,Requena,39.49,-1.1,300.93,56,16,4.27,ES,1594919686
536,Skjervøy,70.03,20.97,289.15,72,40,1.0,NO,1594919686
537,Hobyo,5.35,48.53,299.67,71,98,12.71,SO,1594919687
538,Wewak,-3.55,143.63,299.57,79,87,0.92,PG,1594919687
539,Amazar,53.86,120.88,291.82,71,24,0.72,RU,1594919687
540,Wanaka,-44.7,169.15,272.04,84,17,0.89,NZ,1594919687
541,Malakal,9.53,31.66,297.4,89,88,1.56,SS,1594919687
542,Mana,5.66,-53.78,303.73,60,96,4.33,GF,1594919687
543,Distrikt Brokopondo,4.75,-55.17,303.85,53,100,0.89,SR,1594919687
544,Oktyabr'skoye,43.06,44.74,299.15,57,75,5.0,RU,1594919688
545,Bay City,43.59,-83.89,294.26,83,90,3.1,US,1594919436
546,Obihiro,42.92,143.2,286.0,91,76,0.44,JP,1594919688
547,Rio Grande,-32.03,-52.1,284.15,93,100,4.6,BR,1594919483
548,Selfoss,63.93,-21.0,285.93,85,100,4.92,IS,1594919688
549,Qasigiannguit,68.82,-51.19,282.15,70,75,2.6,GL,1594919688
550,San Angelo,31.46,-100.44,307.59,43,1,4.1,US,1594919688
551,Am Timan,11.03,20.28,295.5,91,100,1.09,TD,1594919689
552,Ibicaraí,-14.87,-39.59,299.06,61,50,3.5,BR,1594919689
553,Novaya Igirma,57.13,103.91,282.45,78,43,2.31,RU,1594919689
554,Belaya Gora,68.53,146.42,279.24,79,100,1.24,RU,1594919689
555,Hastings,50.86,0.57,295.37,58,97,0.89,GB,1594919689
556,Oxbow,49.23,-102.17,294.82,71,0,2.68,CA,1594919689
557,Alexandria,31.22,29.96,300.15,61,20,6.2,EG,1594919179
558,Mandera,3.94,41.87,302.83,33,79,4.69,KE,1594919689
559,Gushikawa,26.35,127.87,300.15,88,90,4.6,JP,1594919690
560,Cascais,38.7,-9.42,309.15,20,0,9.3,PT,1594919690
561,Ploemeur,47.73,-3.43,294.26,73,75,5.1,FR,1594919690
562,Wormeldange,49.61,6.41,289.26,93,75,4.6,LU,1594919690
563,Menongue,-14.66,17.69,289.72,28,0,2.93,AO,1594919690
564,Hervey Bay,-25.3,152.85,284.26,53,0,1.79,AU,1594919690
565,Bolivar,37.61,-93.41,304.26,57,50,2.01,US,1594919598
566,Vanderhoof,54.02,-124.02,286.61,90,98,2.04,CA,1594919690
567,Chifeng,42.27,118.96,297.34,57,86,3.46,CN,1594919475
568,Palauig,15.44,119.9,301.14,74,79,2.16,PH,1594919690
569,Stillwater,36.12,-97.06,301.15,65,1,3.6,US,1594919691
570,Iğdır,39.92,44.05,302.15,35,2,7.2,TR,1594919691
571,Oranjemund,-28.55,16.43,292.63,25,0,4.5,NA,1594919691
572,Tiksi,71.69,128.87,274.82,91,10,6.9,RU,1594919691
573,Severo-Yeniseyskiy,60.37,93.04,282.34,96,49,4.4,RU,1594919691
574,Clonakilty,51.62,-8.87,295.15,53,40,5.7,IE,1594919691
575,Turukhansk,65.82,87.98,281.97,84,72,6.67,RU,1594919691
576,Itoman,26.12,127.67,301.15,88,75,4.6,JP,1594919558
577,Sturgis,41.8,-85.42,296.15,94,90,2.6,US,1594919475
578,Gizo Government Station,-8.1,156.84,300.58,81,33,7.44,SB,1594919692
